full_text,label
Pertamax sepi antrian pertalite makin panjanggg https://t.co/eLLUa358A7,0
@Jateng_Twit Ngeselin bgt pas lwt jalur pantura pemalang-batang. Disuruh ngisi pertamax dgn alibi mesin pertalite nya error pdhal 2 mnit sbelumnya pas ngantri gaada angin gaada ujan tbtb aja trs bener lagi kocak.,0
Ini postingan sebelum ketahuan Pertamax oplosan,0
Udah berapa kali beli bensin semenjak keluar berita oplosan itu berkali-kali juga ngeliat bagian pertamax jadi dikit barisannya. Biasanya mau pertalite sepanjang apapun jg antriannya jg pertamax setengahnya gtlah ini paling antrian cuma 5 motor gt wkwk,0
@Naakyoung Wkwkwk jadi kita aktifnya gak di waktu yang sama ya kemarin-kemarin tapi sekarang udah sama sama aktif jadinya udah bisa ngobrol lagi! Kalau bahas pertamax yang dioplos pertamina itu di muka umum gini kira-kira depan rumah kita ada tukang bakso gak ya,0
@hagendiratama @mariorvndra Di sebuah hubungan keluarga kecik ini Hagen: Api Mario: Pertamax turbo Bibi: Pertamina Dex Lengkap sudah,0
@yaniarsim @DMieaceh80579 @prabowo BERMULA DARI IJAZAH PALSU HINGGA MENYEBABKAN NEGARA PENUH DGN KEPALSUAN. EMAS ANTAM PALSU PERTAMAX PALSU DISERTASI BAHLIL PALSU PRESIDEN PALSU IJAZAH PALSU BERHASIL MEREVOLUSI MENTAL PEJABAT MENJADI KORUP DAN APARAT BEJAD ‼️ https://t.co/Vq7nTv3mV0,0
Minyak kita HET 15.700 beli 19 RB Gas 15.000 beli 22 RB Pertamax dioplos Semua yg menguasai hajat hidup orang banyak kok jadi runyam semuanya? KNTL https://t.co/q7SlJT6Str,0
@SigitWasito8 Lagi cek persediaan pertamax https://t.co/g87b9yZYmM,0
@kenhans03 Bandar judi aja depan mata di biarkan mafia Pertamax aja gak semua di tangkap,0
@KangAsepr @Mata_Netizen62 @riekediahp @2TRafiS1 @alamtegarrrr @Anak__Ogi @AntoniusCDN @barengwarga @ch_chotimah2 @Cintada16 @narkosun__ @muchlis_ar @Marbot_Udien ribet bgt asli pake minta2 barcode.. padahal kalau di webnya ada opsi kok bisa barcode bisa no plat... saya pernah suruh petugasnya pake no plat aja masa ditolak. padahal di sistem ada opsi begitu... apa cara licik biar yg kelupaan bawa qrcoee mau isi pertamax yg jelek itu?,0
@irenebaebae_91 Wkwk pertamax emang kampret si,0
@xenonverse1 Iya Pertamax turbo beb,1
@mmmiiiiaaawwww pertamax = pertama-x = pertama kali,1
@prabowo Gimana mau nyejahterakan rakyat pak? Koruptor kelas dunia yg ada di depan mata saja anda diamkan padahal negara ini miskin Krn korupsi. Tengok itu rakyat gak miskin dilarang beli pertalite tapi pertamax yang dibeli ternyata Pertalite. Kerugian negara sampai 1000 T,0
@NenkMonica @setjenkemenkeu kecil itu bisa sita uang korupsi timah 300 T dan uang sitaan kasus oplosan Pertamax 1000 triliun!!!,0
@txtdrimedia Tim tetep beli pertamax,2
@lilvbcs1fch Pertamax,1
Berawal dari ijazah palsu menjadi pertamax palsu menjadi emas palsu Letkol palsu dan.. Presiden palsu,0
Pertamax turbo aja gk enak ke mesin apes Shell pada kosong gini,0
orang yg msih ngisi pertamax tu emg gtau berita apa gmn y,0
@satriohendri Yg dites baru volumenya Kualitas nya gimana kah? Jangan2 seperti kasus pertamax,0
@punzsel yoi biar enak g kena tipu pertamax,0
@whoopziiy Sirupnya dioplos Pertamax turbo,0
jangankan perempuan pertamax aja aku tetipu hehe,0
pertamax minyakita trus skarang LPG jg ikutan? awokawok emg gak salah gw nyebut negara kontol,0
@KangManto123 Si Botak biadab ini sepertinya udah kenyang makang uang Pertamax oplosan,0
Pertamax dioplos CPNS yg lulus srh blk kerja di t4 lama MBG B nya beracun patwal arogan mengawal mobil kosong Partai anak muda ternyata kelakuan nepotisme Disertasi jalur istimewa Minyak goreng takaran kurang DSB Dengan banyak kasus kyk gni apakah msh ada yg percaya politisi?,0
kemarin pertamax di oplos sekarang gas di oplos oplos semua aja anjg negara isinya peng oplos semua https://t.co/zomjBhWNwX,0
@BennyHarmanID Udah lama kami di bohongi sejak 2018 sampe 2023. Kami isi minyak Pertamax dari Pertamina kenyataannya barang oplosan. Kami hanya ingin menyaksikan kenyataan palsu. Apakah mungkin menjadi palsu kembali seperti kemarin.,0
Seng ngoplos Pertamax!!!!!!,0
@RagilSemar Ah masa siiih? Banyak nih pak Lingakaran Finalis OCCRP Lingkaran minyak goreng Lingakaran Pager Laut Lingkaran Pertamax Oplosan Lingakaran Korup Asabri Taspen buka lg dong Haji Lingkaran Emas Antam dan masih buanyak Semangat dan kenyataan harus sama ya Pak..,0
@NenkMonica Dih... Ogah ngurus beginian Tuh pertamax polos pertamina ganti rugi sama rakyat ga? Setelah ketahuan harga pertamax turun? Urusan receh diurus sama rakyat jelata makanan pula.,0
Bongkaaar .. Pertamina bayar ke Telkom untuk aplikasinya sebesar Rp15 25 per liter per hari. Mari kita hitung biaya yg dibayarkan Pertamina. Jumlah konsumsi Pertalite sebanyak 82.000 kL per hari atau 82 juta liter per hari. Jumlah konsumsi Pertamax sebanyak 22.000 https://t.co/i8TLlhBWlv,0
@fvaced Ga mempan pertamax mau?,1
cb pke pertamax,1
Beberapa tim yang ada di zona degradasi pada tancap gass dengan beberapa hasil positif sebaliknya ada beberapa tim papan atas yang muali kehabisan bensin kaya @Persija_Jkt . Curiga pas ngisi bahan bakar pake Pertamax oplosan,0
@zprvtz Kalo akun kita gapunya sabskreber itu gak masuk persyaratannya dong ya,1
@tanyakanrl Susah angkutan umum. Yang lainnya aku bisa mudah adaptasi tapi ke pasar jauh gada angkutan umum itu tuh nyiksa banget,1
@BaseBDG Nder aya tatangga abi di jl.caringin gg.Lumbung V rt.02/05nami na Bi Heni gaduh murangkalih tunadaksa anjeuna ge teu gaduh pidameleun janten anjeuna kadang tara gaduh emameun kanggo saur mung sok nyayur bonteng we diemam ku 3 an.Manawi aya keneh kabagean ke kuabi DM kontakna,1
@LumowaS elu pasti kecepretan pertamax oplosan ya botak ‼️ https://t.co/HkHmI2Jf99,0
@ke23__ Urang mah tinggaleun euy,1
@AndisBoga Kita beli pertamax supaya ngga makan subsidi. Malah dikasihnya pertalite juga negara oplosan bang,0
@Jumianto_RK benci sama ahok karena ntar jd ketauan kecepretan pertamax https://t.co/ovNJP287Gq,0
GULA MERAH JUGA DI OPLOS?? *Bukan Pertamax saja dioplos ...? Gula Merah juga dioplos dgn tanah liat waspadahlah .!* Hati² jikalau beli GULA MERAH skrg beredar gula merah campur tanah liat ada MODUS BARU ... tengah2 nya diisi tanah liat ... Berbahaya ...!_ https://t.co/CLnJqxQY3m,0
dikata bapak gua korupsi pertamax apa ya https://t.co/4QpzlPnJYU,0
@radenrauf Langitnya bagus hpku yang kek bangke,1
Gileeeeeee... Rakyat beli pertamax isi pertalite. Beli 1 ltr isi 75 ml....,0
Baru ngisi poltank pake BP pasca kuras bensin pertamina. Harga ga jauh² amat. Relatif 11-12 dg pertamax. Tp tarikan kerasa beda. Boong aja uda ga dioplos,0
@jihanufe HAH BARU TADI NGIKUT GA yg dzikir 33x udh kesus aja dasar edaaaaannnnnn,0
@Mata_Netizen62 @riekediahp @2TRafiS1 @alamtegarrrr @Anak__Ogi @AntoniusCDN @barengwarga @ch_chotimah2 @Cintada16 @narkosun__ @muchlis_ar @Marbot_Udien 1 kiloliter = 1000 liter Jika pertamina membayar ke Telkom Rp 12 25 untuk setiap Liter yang dikeluarkan dan setiap hari ada pengeluaran 85.000 Kilo liter untuk pertalite dan 22.000 untuk pertamax maka total pengeluaran pertamina dalam setahun adalah sebagai berikut: https://t.co/1jQkgxuhhg,0
Pertamina Akui Ada Pergeseran Konsumsi dari BBM Pertamax https://t.co/WUAIpsbj60,0
@hnyjpg pertamax,1
@piykik beli pertamax,1
@D_hermaone84 Pertamax ..,1
@ameeytha @chocoocii Cia solar. Atau pertamax? Bjir dioplos.,0
Oplos pertamax udah emas antam palsu udah minyakita dikurangi volume &amp; harga jual ada yg gk sesuai HET udah kedepannya bakal ada kebusukan apa lagi nih? Jadi makin pengen pindah negara aja rasanya,0
Ga ada duit buat servis mesin cuci ‍‍,1
@Aingkur @txtdrimedia Gw pribadi udh 4 bulan kali sebelom meledak tuh berita korupsi ngisi kerang kuning. Emang beda kualitasnya..... tarikan joss. Beda sama pertamax kayak masih ada brebet².,0
@edelynlyn Macem mancing / layangan ya tarik ulur tarik ulur tarik ulur eh malah Putus dan ilang modal ( umpan / layangan ) .. yang tersisa hanya rasa sakit hati yang dibalut senyuman,0
@TrulyTob @bobexlbud @lpkkaltim @democrazymedia Tanya ke pedeipeh lah... kan mereka yg bawa dan ajak dia masuk politik pertamaX. Mereka yg taulah titelnya dia apa jadul itu Tuh skr ribut2 ijasah ini pedeipeh diem seribu bahasa ngga pernah ikutan komen...jangan2 dari awal mereka tau tapi dari jadul menutup2i juga?!? *eh,0
@D_hermaone84 Beras Om tapi pick aku yah,1
@SEHUNgenz Bukan pertamax,1
@txtdrimedia Disini terbukti Masyarakat indonesia khususnya di kota besar sebetulnya pny kemampuan finansial bagus. Lha pertamax 92 sm shell super 92 bedanya 700 perak aja dibeli. Ngakunya rugi² mulu giliran kayak kyk gini bukannya seneng ngurangin subsidi malah tantrum.,0
@satriohendri Coba besok ganti pertamax dan pertalite bos? Pengen tau hasilya,1
@tempodotco kecepetan. harus dapet sanksi sosial dulu dari satu negara terus diarak terus tititnya dikebiri terus dilemparin kerikil terus dahinya ditetesin air selama 5 tahun terus disiram air keras terus disiram pertamax terus dibakar hidup-hidup,0
apa kabar motor gw ya yg dari awal diisi pertamax️,0
@AirinDatangLagi Waduh...hukum pun di oplos Pertamax oplosan Jangan² si fufufafa isi tempurungnya juga oplosan...,0
@TheRavenCrypto Tg Yunihoki7 https://t.co/sZ1g3lu0Sl,1
@TheRavenCrypto Tg Yunihoki7 https://t.co/tPQJUam4Bc,1
@ruhulanakgaul Mungkin dia kecipratan pertamax oplosan,0
@bimasinung @ferrykoto GK usah dilanjut pak koto lagi antri Pertamax ron 90 sekalian mau pulang antri beli gas 3 kg jadi kagak bakal di bales mas,1
@eexxoo_7 Pertamax dioplos gas dioplos semuanya aja dioplos,0
@TOM5helby @andre_rosiade @pertamina Jadi terharu DUTA PSK dan DUTA PERTAMAX jalan bareng dengan senyum sumringah kompak kayak upin ipin,0
@sakahandakk dari sekian banyak itu adakah yang aroma pertamax?,0
@Aingkur @txtdrimedia ya ini kan di jawa. orang di daerah terutama terpencil gaada opsi lain. sekali nya ada pertashop cuma ada pertamax.,0
@txtdrimedia konsep pertashop ini memang anjing. lu bayangin negara jualan di daerah terisolir yang jarang ada spbu tapi cuma jual pertamax + gas non subsidi. orang susah dibikin idupnya makin susah. bangsat.,0
@irenebaebae_91 Aku juga tertipu oleh pertamax,0
Untungnya udah pindah ke shell dari lama tapi tetep aja gua kalau ke pertamina pakenya pertamax ajg,0
Gak usah ngerasa sok ditipu pertamax lu dikasih bukti sama Tuhan soal kelakuan dia aja lu masih coba denial.,0
@satriohendri Dan yang lebih parahnya lagi kwalitas RON BBM Pertamax di naikkan tapi pertalite Dan Pertamax turbo nya di turunkan Ini bagaimana apakah masyarakat masih mau percaya https://t.co/yUk1Gzbyar,0
Belum kelar huru-hara oplosan Pertamax eh udah muncul lagi aja season baru. Saksikan #MeetNiteLiveMetroTVSetiap Selasa dan Kamis pukul 22.30 WIB di #MetroTV Tonton juga di Youtube Metrotvnews melalui link berikut https://t.co/Xj0DilK17S https://t.co/gTwLlTaPLd,0
kok aku skrg malu ya beli pertamax diliatin terus y gmn y ga punya pilihan lain bjir,0
@BiLLRaY2019 Makin buncit aja perut nya kebanyakan minum pertamax oplosan,0
@KangManto123 Habis jilat pantat dan peler si Riva Siahaan.,0
@irenebaebae_91 wadu ketipu sm pertamax,0
MARK HAECHAN LU BUTUH APA?? PERTAMAX??? PERTALITE??? SOLAR??? MINYAK TANAH??? BILANG GAUSAH MALU MALU GUA SUPPLY BURUAN https://t.co/KH9DcxOVw8,0
@lutviebontot @idextratime Jangan lupa sebelum main guyur pake pertamax semua skuad timnas biar bisa terbakar.,1
@ruhulanakgaul Si botak ini sepertinya ikut kecipratan uang Pertamax oplosan,0
@jawafess Yg bikin kisruh gas Yg bikin pertamax kotor Yg mundurin jadwal CASN/CP3K 2024,0
@cmbstank @affnsyaa @txtdrimedia Utk pertamina berubah berat kak Dr atasan sampe bawahan (sopir) semua mafia sopir aja kalo kirim jarang beresnya kak. Kalo dipelosok masyarakat ga beli pertamax dikarenakan selisih dg partalite terlalu jauh.. Lemes kak kadang buat bayar karyawan aja nombok,0
@Heraloebss Iya itu malah scr hakekat malah penipuan oleh BUMN...pemerintah menipu konsumen/rakyat. Termasuk Pertamax ternyata Pertalite ya harus ada gantirugi...jangan malah nuntut Pajak naek...utk PPN nda jadi 12% full...gelo,0
@jejaktanya @affnsyaa @txtdrimedia Iya. Masalahnya ini kan salahnya pertamina sendiri. Rakyat juga d bikin kecewa abis abisan. Ga beli pertamax d merah jg krn ada alasannya. Bukan yg tiba2 ga beli gt kan. Kalo pertaminanya bs berubah n perbaiki diri (mungkin) rakyat (kayanya susah ya) bakal percaya lg.,0
@KangManto123 Licik nih orang memang yaa... inget kasus psk di sumbar dulu yg dijebak.. kecipratan pertamax,0
baru ronde pertamax udh bau,0
@DS_yantie Kan si andre sama tersangka korupsi pertamax itu bestian dong,0
@SateTong @matamera2 @innovacommunity Ya tadi mikir Kok Pertamax bening pantes petugasnya gak tahu kalau ada Pertamax oplosan..,0
@txtdrimedia Gw udh beberapa Pom itu pertalite nya abis terus tumben bnget.. biar dipaksa beli pertamax,0
Anggota DPR RI F-PDI Perjuangan Mufti Anam sampaikan kekecewaan kepada Pertamina yang tak bahas Pertamax Oplosan yang merugikan dan mengkhianati rakyat dalam Rapat Dengar Pendapat Komisi VI Senin (10/3/2025). Ini orkestrasi kejahatan yang masif dan terstruktur yang dilakukan https://t.co/eFMqPWGUY6,0
Motorku sdh mati stnknya. Begitu petugas jurusita datang aku sdh siap dgn botol aqua isi pertamax oplosan bila dia maksa menyita motorku maka dia dan motorku aku bakar biar viral...!!! Hore viral...!!!,0
@muchlis_ar Kerugian negara ga ada. Karena negara juga jual ke rakyat sebagai pertamax. Jadi rakyat yang menanggung kerugian.,0
Dibohongi Minyakita Dibohongi Pertamax Dibohongi Keputusan MK Dibohongi Ekonomi meroket Dibohongi Macan Asia Dibohongi Industri 4.0 Dibohongi,0
Jadikan oknum parcok duta pedofil Dancuk tenan kelakuane,0
Cocok. Biar semakin mendunia. Ada duta pedofil dari parcok.,1
Ini oknum anjing gak habis2 kelakuan bangsatnya.,0
@romoatheist Masyarakat sangat Rugi Oplosan Bbm Pertalite ke Pertamax' karna ada Mafia Koruptor,0
Cok parcok anjing. Gak ada habisnya kelakuanmu,1
@Garagarrrrr @ismailfahmi Mikirnya kayak gitu ya 100 tahun lagi baru bisa lo kagak sadar apa birokrasi Indonesia sebobrok apa? Tower 4 G dikorupsi mau akses interenet merata? Lo minum tu pertamax oplosan,0
Anjing parcok lagi. Oknum kok tiap hari dasar anjing parcok.,0
Anjing parcok lagi.. Lagi lagi anjing parcok,0
Ini anjing oknum parcok tiap hari ada saja kelakuan biadabnya,0
@curiouszr Duh ga pertamax kali ini,0
@ronin4711 @ListyoSigitP Lidah kelu jari gemetar gk bsa jawab,1
@AskLampung Sebelum terungkap udah gak pakai pertamax lagi temen temen ku anak bengkel nyuruh jangan pakai pertamax. Jadi ikutin kata mereka,0
@tanyarlfes Pertamax,1
MENGAPA KEJAGUNG MENGHIMBAU MASYARAKAT AGAR TETAP MEMBELI PERTAMAX YANG SEMULA DISEBUT OPLOSAN? PERMAINAN SI KUMIS BAPLANG DIAWALI PERTANYAAN DIMULAI DARI PENGGELEDAHAN RUMAH RIZAL CHALID TERKUAK NAMA JOKOWI BUDI GUNAWAN ERIK THOHIR DAN BOY THOHIR https://t.co/haGy7JDPmC https://t.co/kFK78eRigq,0
Pertamax aja bisa palsu apalagi perasaanmu,0
@AskLampung Dari dulu cuma pake pertalite sama pertamax turbo.,0
@tejhtawar Mau + dom Bandung,1
Ask! Setelah semua terungkapppp kalian tetep pake pertamax gak?,0
Yang ngoplos pertamax,0
@intinyadeh gue pake shell fulltank yang 92 dipake 6 hari berturut turut masih bersisa padahal sempet pergi jauh jg. lah kemarin hari senin sore gue ngisi pertamax turbo (95) dipake setiap hari &amp; bolak balik sama aja. sekarang hari ke 4 udah mau abis lagi. cuman cukup sampe besok. gk ngrti,0
@CNNIndonesia Konsumen Pertamax piye ..,1
@txtdrimedia gapapa saya masih menjadi pembeli Pertamax bcs ga ada pom swasta dan ga keburu kalau antri pertalite,0
